"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Matt Bonner",3000,"Ind@SA 08:30PM ET",5.568,"SA"
"C","Nick Collison",3000,"OKC@LAC 10:30PM ET",9.054,"OKC"
"C","Chris Kaman",3000,"Por@Atl 08:00PM ET",6.125,"Por"
"PF","Louis Amundson",3000,"Orl@NY 07:30PM ET",7.292,"NY"
"SG","Alan Anderson",3000,"Sac@Was 07:00PM ET",0,"Was"
"PF","Drew Gooden",3000,"Sac@Was 07:00PM ET",11.542,"Was"
"SF","Caron Butler",3000,"Sac@Was 07:00PM ET",5.469,"Sac"
"SG","Rasual Butler",3000,"Ind@SA 08:30PM ET",6.977,"SA"
"SF","Mike Dunleavy",3000,"Bkn@Chi 08:00PM ET",0,"Chi"
"SF","Steve Novak",3000,"OKC@LAC 10:30PM ET",3.563,"OKC"
"SG","Sasha Vujacic",3000,"Orl@NY 07:30PM ET",9.750,"NY"
"PG","Brian Roberts",3000,"Cha@Hou 08:00PM ET",5.167,"Cha"
"PF","Tyler Hansbrough",3000,"Cha@Hou 08:00PM ET",5.962,"Cha"
"SG","Sonny Weems",3000,"Pho@Uta 09:00PM ET",4.750,"Pho"
"SG","Elijah Millsap",3000,"Pho@Uta 09:00PM ET",6.017,"Uta"
"SG","Justin Holiday",3000,"Por@Atl 08:00PM ET",6.824,"Atl"
"SG","E'Twaun Moore",3000,"Bkn@Chi 08:00PM ET",9.091,"Chi"
"SF","Kyle Singler",3000,"OKC@LAC 10:30PM ET",5.131,"OKC"
"C","Cole Aldrich",3000,"OKC@LAC 10:30PM ET",3.458,"LAC"
"SG","James Anderson",3000,"Sac@Was 07:00PM ET",4.482,"Sac"
"SF","Chris Johnson",3000,"Pho@Uta 09:00PM ET",3.206,"Uta"
"PF","Quincy Acy",3000,"Sac@Was 07:00PM ET",5.667,"Sac"
"SF","Willie Reed",3000,"Bkn@Chi 08:00PM ET",8.357,"Bkn"
"PG","Shelvin Mack",3000,"Por@Atl 08:00PM ET",8.477,"Atl"
"PF","Jonas Jerebko",3000,"Min@Bos 07:30PM ET",8.009,"Bos"
"SG","Lamar Patterson",3000,"Por@Atl 08:00PM ET",7.273,"Atl"
"C","Shayne Whittington",3000,"Ind@SA 08:30PM ET",-1.000,"Ind"
"SF","Solomon Hill",3000,"Ind@SA 08:30PM ET",5.208,"Ind"
"SG","C.J. Wilcox",3000,"OKC@LAC 10:30PM ET",0.000,"LAC"
"PF","Cory Jefferson",3000,"Pho@Uta 09:00PM ET",5.833,"Pho"
"PF","Thomas Robinson",3000,"Bkn@Chi 08:00PM ET",9.440,"Bkn"
"PG","Troy Daniels",3000,"Cha@Hou 08:00PM ET",4.205,"Cha"
"PG","Tim Frazier",3000,"Por@Atl 08:00PM ET",2.339,"Por"
"C","Tibor Pleiss",3000,"Pho@Uta 09:00PM ET",1.688,"Uta"
"PF","Cameron Bairstow",3000,"Bkn@Chi 08:00PM ET",3.375,"Chi"
"SG","Tim Hardaway Jr.",3000,"Por@Atl 08:00PM ET",5.438,"Atl"
"SF","Duje Dukan",3000,"Sac@Was 07:00PM ET",0,"Sac"
"SF","Josh Huestis",3000,"OKC@LAC 10:30PM ET",0,"OKC"
"PG","Jerian Grant",3000,"Orl@NY 07:30PM ET",11.779,"NY"
"PG","Pablo Prigioni",3000,"OKC@LAC 10:30PM ET",7.500,"LAC"
"SG","Joe Ingles",3000,"Pho@Uta 09:00PM ET",7.573,"Uta"
"C","Boban Marjanovic",3000,"Ind@SA 08:30PM ET",7.308,"SA"
"PF","Eric Moreland",3000,"Sac@Was 07:00PM ET",3.900,"Sac"
"SF","Devyn Marble",3000,"Orl@NY 07:30PM ET",0.950,"Orl"
"PF","Adreian Payne",3000,"Min@Bos 07:30PM ET",7.403,"Min"
"SG","Joe Young",3000,"Ind@SA 08:30PM ET",3.075,"Ind"
"PG","Ray McCallum",3000,"Ind@SA 08:30PM ET",5.063,"SA"
"PG","Bryce Cotton",3000,"Pho@Uta 09:00PM ET",0,"Pho"
"SF","Pat Connaughton",3000,"Por@Atl 08:00PM ET",1.000,"Por"
"SF","Michael Kidd-Gilchrist",3000,"Cha@Hou 08:00PM ET",0,"Cha"
"SF","K.J. McDaniels",3000,"Cha@Hou 08:00PM ET",3.525,"Hou"
"SF","Branden Dawson",3000,"OKC@LAC 10:30PM ET",0,"LAC"
"PF","Rakeem Christmas",3000,"Ind@SA 08:30PM ET",0,"Ind"
"SF","Sergey Karasev",3000,"Bkn@Chi 08:00PM ET",1.925,"Bkn"
"SF","Sam Dekker",3000,"Cha@Hou 08:00PM ET",1.083,"Hou"
"SG","R.J. Hunter",3000,"Min@Bos 07:30PM ET",6.516,"Bos"
"PF","Montrezl Harrell",3000,"Cha@Hou 08:00PM ET",6.603,"Hou"
